model,requested_thinking_budget,case,repeat,http_status,thoughts_token_count_present,thoughts_token_count,prompt_token_count,answer_token_count,total_token_count,total_minus_prompt_minus_answer,first_text_ms
gemini-3.5-flash,512,substantive,3,200,True,118,543,17,678,118,1390.6746979337186
gemini-3.5-flash,128,france,3,200,True,137,478,7,622,137,1323.7799280323088
gemini-3.8-flash,128,japan,3,200,False,,475,7,482,0,703.5864070057869
gemini-3.6-flash,0,substantive,3,400,False,,,,,,
gemini-3.5-flash,128,substantive,1,200,True,123,543,21,687,123,1673.9240209572017
gemini-3.8-flash,128,france,2,200,False,,478,7,485,0,745.9039269015193
gemini-3.5-flash,0,substantive,3,200,False,,543,24,567,0,816.7735079769045
gemini-3.8-flash,512,japan,3,200,False,,475,7,482,0,688.6716668959707
gemini-3-flash-preview,0,japan,3,200,False,,475,7,482,0,665.6531100161374
gemini-3-flash-preview,128,japan,1,200,False,,475,7,482,0,711.1486021894962
gemini-3.5-flash,0,substantive,1,200,False,,543,24,567,0,751.1320100165904
gemini-3.5-flash,512,substantive,1,200,True,118,543,17,678,118,1412.9469248000532
gemini-3-flash-preview,128,substantive,1,200,False,,543,27,570,0,719.9101860169321
gemini-3.7-flash,512,japan,3,200,False,,475,7,482,0,510.3508769534528
gemini-3.5-flash,512,japan,2,200,True,28,475,7,510,28,819.4297607988119
gemini-3.6-flash,512,substantive,2,200,True,407,543,27,977,407,2745.6978568807244
gemini-3.7-flash,512,france,2,200,False,,478,7,485,0,888.982045929879
gemini-3.7-flash,128,substantive,2,200,False,,543,19,562,0,640.272461110726
gemini-3.8-flash,128,france,1,200,False,,478,7,485,0,728.6080769263208
gemini-3.5-flash,128,japan,2,200,True,28,475,7,510,28,994.6755389682949
gemini-3-flash-preview,0,substantive,3,200,False,,543,29,572,0,629.0046330541372
gemini-3.6-flash,128,japan,1,200,False,,475,7,482,0,476.18269897066057
gemini-3-flash-preview,512,japan,1,200,False,,475,7,482,0,577.6241030544043
gemini-3.5-flash,128,japan,3,200,True,25,475,7,507,25,874.9132670927793
gemini-3.8-flash,0,substantive,2,200,False,,543,25,568,0,2098.229114897549
gemini-3-flash-preview,128,japan,3,200,False,,475,7,482,0,667.2156290151179
gemini-3.6-flash,0,japan,3,400,False,,,,,,
gemini-3.5-flash,512,substantive,2,200,True,118,543,17,678,118,1551.812884164974
gemini-3.6-flash,128,substantive,2,200,True,72,543,26,641,72,1137.7702851314098
gemini-3.7-flash,128,japan,3,200,False,,475,7,482,0,614.7999719250947
gemini-3.8-flash,128,substantive,3,200,False,,543,25,568,0,535.6100320350379
gemini-3.6-flash,0,japan,2,400,False,,,,,,
gemini-3.7-flash,0,france,3,200,False,,478,7,485,0,556.3333269674331
gemini-3.8-flash,0,france,3,200,False,,478,7,485,0,700.0421630218625
gemini-3.7-flash,0,japan,2,200,False,,475,7,482,0,590.5640600249171
gemini-3.5-flash,0,substantive,2,200,False,,543,24,567,0,769.5082100108266
gemini-3.5-flash,512,japan,3,200,True,28,475,7,510,28,763.6531030293554
gemini-3.6-flash,0,france,2,400,False,,,,,,
gemini-3-flash-preview,0,japan,1,200,False,,475,7,482,0,721.4915240183473
gemini-3.6-flash,512,substantive,3,200,True,123,543,26,692,123,1764.5725079346448
gemini-3.5-flash,0,japan,2,200,False,,475,7,482,0,851.8174921628088
gemini-3.5-flash,0,france,3,200,False,,478,7,485,0,809.2209710739553
gemini-3-flash-preview,128,france,3,200,False,,478,7,485,0,835.0664630997926
gemini-3-flash-preview,0,japan,2,200,False,,475,7,482,0,587.5575188547373
gemini-3.8-flash,0,france,1,200,False,,478,7,485,0,495.11518981307745
gemini-3.6-flash,0,substantive,1,400,False,,,,,,
gemini-3.6-flash,512,japan,1,200,False,,475,7,482,0,537.758877966553
gemini-3.6-flash,128,substantive,3,200,True,69,543,21,633,69,994.7829230222851
gemini-3.5-flash,128,france,2,200,True,130,478,7,615,130,1303.5228319931775
gemini-3-flash-preview,128,japan,2,200,False,,475,7,482,0,745.105124078691
gemini-3-flash-preview,512,substantive,3,200,False,,543,25,568,0,655.6582059711218
gemini-3.5-flash,512,france,2,200,True,130,478,7,615,130,1213.9561949297786
gemini-3.7-flash,128,france,2,200,False,,478,7,485,0,528.3387340605259
gemini-3-flash-preview,128,substantive,3,200,False,,543,27,570,0,767.5370720680803
gemini-3.6-flash,0,france,3,400,False,,,,,,
gemini-3.8-flash,128,substantive,2,200,False,,543,16,559,0,607.9307501204312
gemini-3.7-flash,128,france,1,200,False,,478,7,485,0,603.9660261012614
gemini-3-flash-preview,0,france,1,200,False,,478,7,485,0,556.3740669749677
gemini-3.7-flash,0,substantive,2,200,True,72,543,26,641,72,722.66611806117
gemini-3-flash-preview,128,france,1,200,False,,478,7,485,0,619.705077027902
gemini-3.7-flash,128,france,3,200,False,,478,7,485,0,528.7494701333344
gemini-3.7-flash,128,japan,1,200,False,,475,7,482,0,467.05729817040265
gemini-3.8-flash,128,substantive,1,200,False,,543,25,568,0,533.7162248324603
gemini-3.5-flash,512,japan,1,200,True,28,475,7,510,28,979.4125130865723
gemini-3.6-flash,128,substantive,1,200,True,169,543,26,738,169,1652.6154968887568
